`id`,`district_id`,name_en,latitude,longitude
480,7,Debahera,7.1389,80.0981
481,7,Dekatana,6.968317,80.035385
482,7,Delgoda,6.986583,80.01576
483,7,Delwagura,7.265367,80.003272
484,7,Demalagama,6.988934,80.046886
485,7,Demanhandiya,7.2333,79.9
486,7,Dewalapola,7.162553,79.997446
487,7,Divulapitiya,7.2167,80.0156
488,7,Divuldeniya,7.3,80.1
489,7,Dompe,6.949806,80.055083
490,7,Dunagaha,7.2342,79.9756
491,7,Ekala,7.105558,79.91532
492,7,Ellakkala,7.135968,80.132524
493,7,Essella,7.178736,80.021603
494,7,Galedanda,6.964202,79.930611
495,7,Gampaha,7.0917,79.9942
496,7,Ganemulla,7.064183,79.963294
497,7,Giriulla,7.3275,80.1267
498,7,Gonawala,6.9612,79.9992
499,7,Halpe,7.261935,80.10821
500,7,Hapugastenna,7.1,80.1667
501,7,Heiyanthuduwa,6.96283,79.963309
502,7,Hinatiyana Madawala,7.1667,79.95
503,7,Hiswella,7.021559,80.160869
504,7,Horampella,7.185188,79.976771
505,7,Hunumulla,7.244925,79.996921
506,7,Hunupola,7.111463,80.130625
507,7,Ihala Madampella,7.250345,79.960941
508,7,Imbulgoda,7.035,79.9931
509,7,Ja-Ela,7.076147,79.894932
510,7,Kadawatha,7.0258,79.9882
511,7,Kahatowita,7.0667,80.1167
512,7,Kalagedihena,7.118004,80.058001
513,7,Kaleliya,7.195,80.1136
514,7,Kandana,7.05056,79.895123
515,7,Katana,7.2517,79.9078
516,7,Katudeniya,7.3,80.0833
517,7,Katunayake,7.1647,79.8731
518,7,Katunayake Air Force Camp,7.1407,79.8782
519,7,Katunayake(FTZ),7.1407,79.8782
520,7,Katuwellegama,7.208557,79.94572
521,7,Kelaniya,6.956357,79.921431
522,7,Kimbulapitiya,7.202265,79.908937
523,7,Kirindiwela,7.044223,80.126707
524,7,Kitalawalana,7.3,80.1
525,7,Kochchikade,7.2581,79.8542
526,7,Kotadeniyawa,7.279861,80.05581
527,7,Kotugoda,7.1217,79.9297
528,7,Kumbaloluwa,7.179375,80.082233
529,7,Loluwagoda,7.294586,80.126624
530,7,Mabodale,7.2,80.0167
531,7,Madelgamuwa,7.110062,79.948175
532,7,Makewita,7.1,79.9333
533,7,Makola,6.983178,79.9525
534,7,Malwana,6.951988,80.012561
535,7,Mandawala,7.003066,80.097082
536,7,Marandagahamula,7.2447,79.9696
537,7,Mellawagedara,7.285808,80.023977
538,7,Minuwangoda,7.176455,79.954904
539,7,Mirigama,7.2414,80.1325
540,7,Miriswatta,7.0711,80.0183
541,7,Mithirigala,6.9648,80.0648
542,7,Muddaragama,7.2167,80.05
543,7,Mudungoda,7.064698,79.999092
544,7,Mulleriyawa New Town,6.9301,80.0549
545,7,Naranwala,7.001631,80.027404
546,7,Nawana,7.270062,80.092618
547,7,Nedungamuwa,7.05,80.0333
548,7,Negombo,7.2086,79.8358
549,7,Nikadalupotha,7.1167,80.1333
550,7,Nikahetikanda,7.099089,80.179551
551,7,Nittambuwa,7.144243,80.096178
552,7,Niwandama,7.078762,79.928331
553,7,Opatha,7.132037,79.921419
554,7,Pamunugama,7.094359,79.844569
555,7,Pamunuwatta,7.214678,80.139696
556,7,Panawala,6.9833,80.0333
557,7,Pasyala,7.172926,80.115911
558,7,Peliyagoda,6.960977,79.878852
559,7,Pepiliyawala,7.002342,80.128886
560,7,Pethiyagoda,7.1167,80.0167
561,7,Polpithimukulana,7.0444,79.8782
562,7,Puwakpitiya,7.040498,80.064451
563,7,Radawadunna,7.177279,80.141344
564,7,Radawana,7.029871,80.100915
565,7,Raddolugama,7.140656,79.898198
566,7,Ragama,7.025281,79.917386
567,7,Ruggahawila,7.0667,80.1167
568,7,Seeduwa,7.132059,79.885024
569,7,Siyambalape,6.964545,79.986406
570,7,Talahena,7.1667,79.8167
571,7,Thambagalla,7.1167,80.1333
572,7,Thimbirigaskatuwa,7.2669,79.9495
573,7,Tittapattara,6.9297,80.0889
574,7,Udathuthiripitiya,7.075,80.0333
575,7,Udugampola,7.1167,79.9833
576,7,Uggalboda,7.135549,79.948259
577,7,Urapola,7.104792,80.136935
578,7,Uswetakeiyawa,7.031046,79.860339
579,7,Veyangoda,7.156981,80.095842
580,7,Walgammulla,7.071902,80.116511
581,7,Walpita,7.258131,80.034704
582,7,Walpola (WP),7.0418,79.9257
583,7,Wathurugama,7.0421,80.0701
584,7,Watinapaha,7.2,79.9833
585,7,Wattala,6.990037,79.892207
586,7,Weboda,7.0167,79.9833
587,7,Wegowwa,7.178443,79.962063
588,7,Weweldeniya,7.1834,80.1446
589,7,Yakkala,7.1167,80.05
590,7,Yatiyana,7.184998,79.931858
591,8,Ambalantota,6.114494,81.025983
592,8,Angunakolapelessa,6.162261,80.899471
593,8,Angunakolawewa,6.389127,81.093226
594,8,Bandagiriya Colony,6.1833,81.1389
595,8,Barawakumbuka,6.1667,80.8167
596,8,Beliatta,6.048637,80.734343
597,8,Beragama,6.15,81.0667
598,8,Beralihela,6.2556,81.2944
599,8,Bundala,6.195164,81.250493
600,8,Ellagala,6.26867,81.359512
601,8,Gangulandeniya,6.2833,80.7167
602,8,Getamanna,6.036244,80.669146
603,8,Goda Koggalla,6.0333,80.75
604,8,Gonagamuwa Uduwila,6.25,81.2917
605,8,Gonnoruwa,6.230443,81.112465
606,8,Hakuruwela,6.146456,80.83047
607,8,Hambantota,6.127563,81.111287
608,8,Handugala,6.188877,80.62414
609,8,Hungama,6.108006,80.927144
610,8,Ihala Beligalla,6.092378,80.747311
611,8,Ittademaliya,6.167432,80.735179
612,8,Julampitiya,6.2261,80.7403
613,8,Kahandamodara,6.078654,80.902917
614,8,Kariyamaditta,6.257359,80.809448
615,8,Katuwana,6.2667,80.6972
616,8,Kawantissapura,6.2786,81.2524
617,8,Kirama,6.2117,80.6653
618,8,Kirinda,6.268985,81.290653
619,8,Lunama,6.098517,80.971511
620,8,Lunugamwehera,6.3417,81.15
621,8,Magama,6.280108,81.270354
622,8,Mahagalwewa,6.1833,81.1389
623,8,Mamadala,6.158126,80.96681
624,8,Medamulana,6.175878,80.770016
625,8,Middeniya,6.2494,80.7672
626,8,Migahajandur,6.1833,81.1389
627,8,Modarawana,6.117576,80.720781
628,8,Mulkirigala,6.12,80.7397
629,8,Nakulugamuwa,6.1842,80.9063
630,8,Netolpitiya,6.066848,80.850703
631,8,Nihiluwa,6.077147,80.696499
632,8,Padawkema,6.35,81.1667
633,8,Pahala Andarawewa,6.1833,81.1389
634,8,Rammalawarapitiya,6.2117,80.6653
635,8,Ranakeliya,6.2167,81.3
636,8,Ranmuduwewa,6.1833,81.1389
637,8,Ranna,6.103377,80.890168
638,8,Ratmalwala,6.2667,80.85
639,8,RU/Ridiyagama,6.1375,81.0042
640,8,Sooriyawewa Town,6.1833,81.1389
641,8,Tangalla,6.0231,80.7889
642,8,Tissamaharama,6.370333,81.328087
643,8,Uda Gomadiya,6.2667,80.6972
644,8,Udamattala,6.3333,81.1333
645,8,Uswewa,6.246247,80.862175
646,8,Vitharandeniya,6.1824,80.806
647,8,Walasmulla,6.15,80.7
648,8,Weeraketiya,6.135,80.7865
649,8,Weerawila,6.3417,81.15
650,8,Weerawila NewTown,6.2556,81.2944
651,8,Wekandawela,6.135,80.7865
652,8,Weligatta,6.205897,81.196032
653,8,Yatigala,6.1,80.6833
654,9,Jaffna,9.660668,80.022706
655,10,Agalawatta,6.541499,80.155785
656,10,Alubomulla,6.711977,79.965857
